timestamp,hourly_traffic_count
datetime,float
T,
2011-02-10 15:00:00,3493
2011-02-10 16:00:00,4561
2011-02-10 17:00:00,4619
2011-02-10 18:00:00,4851
2011-02-10 19:00:00,4671
2011-02-10 20:00:00,4172
2011-02-10 21:00:00,3587
2011-02-10 22:00:00,3031
2011-02-10 23:00:00,2146
2011-02-11 00:00:00,1912
2011-02-11 01:00:00,1220
2011-02-11 02:00:00,770
2011-02-11 03:00:00,574
2011-02-11 04:00:00,440
2011-02-11 05:00:00,528
2011-02-11 06:00:00,1158
2011-02-11 07:00:00,2452
2011-02-11 08:00:00,3340
2011-02-11 09:00:00,3648
2011-02-11 10:00:00,3078
2011-02-11 11:00:00,2823
2011-02-11 12:00:00,2671
2011-02-11 13:00:00,3366
2011-02-11 14:00:00,3229
2011-02-11 15:00:00,4044
2011-02-11 16:00:00,5222
2011-02-11 17:00:00,5307
2011-02-11 18:00:00,4819
2011-02-11 19:00:00,4831
2011-02-11 20:00:00,4277
2011-02-11 21:00:00,3622
2011-02-11 22:00:00,3320
2011-02-11 23:00:00,2744
2011-02-12 00:00:00,2122
2011-02-12 01:00:00,1686
2011-02-12 02:00:00,1312
2011-02-12 03:00:00,934
2011-02-12 04:00:00,778
2011-02-12 05:00:00,852
2011-02-12 06:00:00,792
2011-02-12 07:00:00,1276
2011-02-12 08:00:00,1776
2011-02-12 09:00:00,2094
2011-02-12 10:00:00,2882
2011-02-12 11:00:00,3000
2011-02-12 12:00:00,3433
2011-02-12 13:00:00,3766
2011-02-12 14:00:00,3329
2011-02-12 15:00:00,3526
2011-02-12 16:00:00,4787
2011-02-12 17:00:00,4385
2011-02-12 18:00:00,4179
2011-02-12 19:00:00,3651
2011-02-12 20:00:00,3462
2011-02-12 21:00:00,3316
2011-02-12 22:00:00,3095
2011-02-12 23:00:00,2840
2011-02-13 00:00:00,2249
2011-02-13 01:00:00,2237
2011-02-13 02:00:00,1556
2011-02-13 03:00:00,1131
2011-02-13 04:00:00,950
2011-02-13 05:00:00,950
2011-02-13 06:00:00,746
2011-02-13 07:00:00,864
2011-02-13 08:00:00,1254
2011-02-13 09:00:00,1361
2011-02-13 10:00:00,1883
2011-02-13 11:00:00,2473
2011-02-13 12:00:00,3411
2011-02-13 13:00:00,3649
2011-02-13 14:00:00,4047
2011-02-13 15:00:00,4222
2011-02-13 16:00:00,4197
2011-02-13 17:00:00,4394
2011-02-13 18:00:00,3955
2011-02-13 19:00:00,3306
2011-02-13 20:00:00,3361
2011-02-13 21:00:00,3117
2011-02-13 22:00:00,2499
2011-02-13 23:00:00,2034
2011-02-14 00:00:00,1544
2011-02-14 01:00:00,1057
2011-02-14 02:00:00,594
2011-02-14 03:00:00,427
2011-02-14 04:00:00,360
2011-02-14 05:00:00,567
2011-02-14 06:00:00,1133
2011-02-14 07:00:00,2481
2011-02-14 08:00:00,3224
2011-02-14 09:00:00,3700
2011-02-14 10:00:00,3238
2011-02-14 11:00:00,2655
2011-02-14 12:00:00,2857
2011-02-14 13:00:00,3142
2011-02-14 14:00:00,3125
2011-02-14 15:00:00,3836
2011-02-14 16:00:00,5015
2011-02-14 17:00:00,3510
2011-02-14 18:00:00,4985
2011-02-14 19:00:00,4540
2011-02-14 20:00:00,3564
2011-02-14 21:00:00,3706
2011-02-14 22:00:00,2559
2011-02-14 23:00:00,2109
2011-02-15 00:00:00,1720
2011-02-15 01:00:00,1272
2011-02-15 02:00:00,700
2011-02-15 03:00:00,453
2011-02-15 04:00:00,374
2011-02-15 05:00:00,501
2011-02-15 06:00:00,1185
2011-02-15 07:00:00,2654
2011-02-15 08:00:00,3464
2011-02-15 09:00:00,3703
2011-02-15 10:00:00,2825
2011-02-15 11:00:00,2390
2011-02-15 12:00:00,2733
2011-02-15 13:00:00,2860
2011-02-15 14:00:00,3035
2011-02-15 15:00:00,3288
2011-02-15 16:00:00,5024
2011-02-15 17:00:00,4870
2011-02-15 18:00:00,4932
2011-02-15 19:00:00,4737
2011-02-15 20:00:00,3982
2011-02-15 21:00:00,3190
2011-02-15 22:00:00,2827
2011-02-15 23:00:00,2091
2011-02-16 00:00:00,1686
2011-02-16 01:00:00,1137
2011-02-16 02:00:00,661
2011-02-16 03:00:00,385
2011-02-16 04:00:00,394
2011-02-16 05:00:00,475
2011-02-16 06:00:00,1108
2011-02-16 07:00:00,2510
2011-02-16 08:00:00,3476
2011-02-16 09:00:00,3652
2011-02-16 10:00:00,2726
2011-02-16 11:00:00,2322
2011-02-16 12:00:00,2736
2011-02-16 13:00:00,2825
2011-02-16 14:00:00,2937
2011-02-16 15:00:00,3391
2011-02-16 16:00:00,4978
2011-02-16 17:00:00,5029
2011-02-16 18:00:00,5196
2011-02-16 19:00:00,4473
2011-02-16 20:00:00,3821
2011-02-16 21:00:00,2904
2011-02-16 22:00:00,2873
2011-02-16 23:00:00,2206
2011-02-17 00:00:00,1888
2011-02-17 01:00:00,1222
2011-02-17 02:00:00,686
2011-02-17 03:00:00,452
2011-02-17 04:00:00,376
2011-02-17 05:00:00,556
2011-02-17 06:00:00,1142
2011-02-17 07:00:00,2507
2011-02-17 08:00:00,3412
2011-02-17 09:00:00,3292
2011-02-17 10:00:00,3275
2011-02-17 11:00:00,2666
2011-02-17 12:00:00,2881
2011-02-17 13:00:00,3071
2011-02-17 14:00:00,3168
